index,value
1,996025
2,994216
3,990008
4,989451
5,987857
6,985985
7,984374
8,983558
9,980972
10,976439
11,975120
12,974045
13,972923
14,969873
15,967520
16,965584
17,962503
18,961074
19,959380
20,957110
21,956100
22,955240
23,955108
24,953696
25,952495
26,951883
27,949410
28,948914
29,946705
30,944430
31,942867
32,941061
33,938631
34,938295
35,936785
36,935914
37,932421
38,930807
39,927901
40,922316
41,919682
42,918475
43,914177
44,913738
45,911658
46,908229
47,907800
48,906989
49,900195
50,899898
51,894685
52,888999
53,888998
54,882134
55,882101
56,880290
57,878709
58,876073
59,875281
60,873011
61,870676
62,864089
63,858054
64,855742
65,854671
66,853820
67,849816
68,849684
69,849391
70,847463
71,847066
72,843850
73,836051
74,835915
75,835626
76,832760
77,831645
78,828227
79,827325
80,826213
81,824493
82,819518
83,817859
84,816303
85,810083
86,805396
87,804455
88,801002
89,798856
90,798819
91,797361
92,796391
93,796074
94,794244
95,793760
96,793358
97,793213
98,792210
99,791049
100,790839
101,790254
102,789934
103,788170
104,786685
105,784473
106,783219
107,778826
108,778438
109,778000
110,777361
111,775811
112,773152
113,771912
114,769741
115,768545
116,763304
117,762405
118,756392
119,755387
120,754543
121,749451
122,748986
123,748834
124,745929
125,744076
126,743261
127,743252
128,742848
129,742332
130,740352
131,740198
132,737725
133,729033
134,723388
135,717054
136,714379
137,712949
138,708064
139,705937
140,705790
141,705701
142,704532
143,699123
144,698583
145,698546
146,697021
147,696446
148,694336
149,694239
150,690246
151,689272
152,688839
153,687726
154,687376
155,687363
156,681126
157,673084
158,673026
159,669662
160,665843
161,664073
162,663070
163,662095
164,654942
165,653645
166,652930
167,650927
168,648484
169,648410
170,647906
171,645398
172,640754
173,639484
174,638570
175,638091
176,637509
177,636462
178,628694
179,624244
180,621917
181,621465
182,618418
183,617645
184,616256
185,615831
186,614688
187,613306
188,607026
189,603967
190,603361
191,598746
192,598023
193,596141
194,595956
195,595475
196,592709
197,588918
198,587761
199,586702
200,582651
201,581373
202,581193
203,580219
204,579965
205,579582
206,576806
207,576011
208,575320
209,573219
210,571708
211,569419
212,567045
213,566070
214,565366
215,564538
216,561742
217,559537
218,559477
219,553540
220,552973
221,552345
222,552319
223,548695
224,548682
225,539168
226,534457
227,534361
228,534232
229,532659
230,527263
231,524801
232,523788
233,522771
234,519183
235,512743
236,509769
237,507525
238,505510
239,503245
240,500230
241,499556
242,497257
243,496313
244,495394
245,494305
246,490918
247,489049
248,487267
249,485155
250,478942
251,474675
252,474288
253,473296
254,467468
255,466410
256,465463
257,464516
258,464292
259,461954
260,458127
261,457641
262,455554
263,454789
264,454429
265,454313
266,451138
267,450528
268,449334
269,448886
270,448302
271,441821
272,439395
273,436901
274,436024
275,434482
276,428703
277,426083
278,425957
279,423633
280,420791
281,420380
282,414433
283,407817
284,406695
285,402986
286,402609
287,399669
288,399071
289,399018
290,397673
291,396596
292,392718
293,391169
294,389140
295,383821
296,381911
297,380664
298,377822
299,376669
300,376167
301,375697
302,374211
303,373495
304,373329
305,368226
306,364548
307,359768
308,356235
309,356188
310,351577
311,344549
312,342224
313,338924
314,337447
315,336456
316,334447
317,333488
318,331975
319,331440
320,330115
321,328790
322,325351
323,324777
324,322377
325,322014
326,321314
327,321204
328,319950
329,318831
330,315395
331,314037
332,313681
333,313568
334,311233
335,309271
336,308850
337,307610
338,307473
339,304696
340,302901
341,301868
342,297383
343,293087
344,290463
345,289985
346,289805
347,288244
348,288161
349,287804
350,285991
351,285411
352,281065
353,278371
354,277703
355,277438
356,274638
357,272586
358,272294
359,269175
360,267822
361,266569
362,264911
363,263559
364,261520
365,256624
366,254574
367,253746
368,253449
369,252388
370,250804
371,250080
372,250015
373,248283
374,246046
375,244293
376,242667
377,242118
378,240997
379,236584
380,231643
381,227501
382,224455
383,224195
384,223158
385,218936
386,218292
387,217324
388,214798
389,208715
390,207698
391,206534
392,205330
393,204865
394,204219
395,203738
396,203618
397,202061
398,201875
399,198466
400,197700
401,189410
402,188669
403,180850
404,180706
405,180377
406,176616
407,176302
408,170976
409,170625
410,166340
411,163255
412,162151
413,160572
414,154336
415,154102
416,153465
417,150771
418,150543
419,148743
420,144527
421,142114
422,138215
423,136625
424,135134
425,129984
426,128999
427,127820
428,127792
429,126958
430,126056
431,122049
432,122014
433,118480
434,117797
435,115454
436,114958
437,114447
438,112396
439,110977
440,110799
441,109796
442,108845
443,108794
444,108312
445,107696
446,104700
447,103091
448,102482
449,100634
450,100615
451,100154
452,97779
453,96219
454,91807
455,91244
456,88390
457,88011
458,85299
459,85127
460,84338
461,83365
462,82526
463,81649
464,78004
465,75957
466,72752
467,72172
468,67818
469,67350
470,64938
471,63403
472,62928
473,60834
474,59304
475,55167
476,53354
477,52509
478,52267
479,51868
480,50102
481,45137
482,41477
483,40025
484,39314
485,33635
486,32741
487,32203
488,25122
489,23393
490,16178
491,15090
492,14782
493,13254
494,9890
495,8433
496,6696
497,4656
498,3214
499,3000
500,1769
