index,value
1,124020
2,456064
3,143749
4,274956
5,474642
6,490323
7,579066
8,391853
9,846910
10,653217
11,333824
12,151441
13,390731
14,26443
15,127123
16,587976
17,478308
18,156687
19,37011
20,948950
21,922934
22,472105
23,775618
24,219952
25,925806
26,136452
27,947429
28,582635
29,702815
30,920165
31,314707
32,576146
33,625467
34,150960
35,549013
36,557342
37,781240
38,579783
39,196143
40,903824
41,276628
42,14024
43,770199
44,121227
45,152968
46,317751
47,991530
48,122472
49,514015
50,789663
51,114400
52,496007
53,199724
54,818129
55,174858
56,350531
57,17589
58,367674
59,172799
60,338790
61,527293
62,348074
63,400006
64,580376
65,110823
66,268152
67,602146
68,269808
69,482989
70,201350
71,808607
72,272646
73,621253
74,813309
75,515010
76,17154
77,937738
78,301678
79,942589
80,237420
81,781379
82,383694
83,669541
84,680753
85,316337
86,273210
87,593499
88,681779
89,184244
90,329607
91,343586
92,460741
93,985358
94,989805
95,240210
96,128031
97,239186
98,880709
99,805436
100,596170
101,893988
102,550751
103,961897
104,820736
105,160414
106,495793
107,359340
108,701180
109,466564
110,510476
111,572795
112,459190
113,397940
114,790155
115,12349
116,536084
117,498041
118,793001
119,897295
120,704310
121,43462
122,214307
123,73847
124,656667
125,379805
126,534223
127,328223
128,846121
129,189819
130,414176
131,453264
132,73599
133,231750
134,409696
135,486363
136,405762
137,466825
138,805614
139,724668
140,538344
141,584397
142,175596
143,199629
144,577981
145,949467
146,248365
147,1617
148,729808
149,316636
150,736849
151,276356
152,291755
153,335158
154,15424
155,866183
156,49576
157,692836
158,196026
159,190390
160,760224
161,301957
162,131183
163,92465
164,943196
165,513269
166,871234
167,584741
168,256396
169,174708
170,189840
171,454068
172,382302
173,703795
174,894438
175,423982
176,491727
177,821117
178,698251
179,635055
180,261146
181,35018
182,731115
183,8812
184,526262
185,679835
186,305151
187,293268
188,452712
189,384180
190,948868
191,423649
192,446012
193,703568
194,269853
195,624445
196,13565
197,915613
198,928737
199,385358
200,511357
201,698669
202,163787
203,753008
204,396632
205,75509
206,392042
207,768519
208,695304
209,102807
210,928669
211,447275
212,967440
213,54666
214,769833
215,803242
216,966209
217,364376
218,902637
219,212771
220,438946
221,779011
222,381207
223,759359
224,396281
225,306080
226,143295
227,461437
228,406154
229,926778
230,587143
231,325844
232,488023
233,228570
234,620421
235,811606
236,339787
237,525443
238,163878
239,308932
240,448819
241,181711
242,4369
243,461565
244,934470
245,353490
246,445466
247,266506
248,648618
249,200654
250,117320
251,251973
252,42864
253,836951
254,985215
255,419675
256,648161
257,743181
258,765864
259,649044
260,17622
261,390224
262,537076
263,85666
264,272725
265,972562
266,759794
267,559271
268,938983
269,527500
270,260173
271,122054
272,473702
273,313535
274,859662
275,662114
276,994103
277,979645
278,136263
279,930337
280,500112
281,64753
282,555013
283,601782
284,715622
285,315376
286,86372
287,249978
288,427965
289,444546
290,47801
291,164590
292,162117
293,650470
294,856914
295,239571
296,542586
297,963001
298,128177
299,506044
300,406598
301,42466
302,686928
303,676184
304,377433
305,603852
306,228901
307,707986
308,215723
309,278932
310,459162
311,976110
312,138569
313,156563
314,836835
315,837403
316,643443
317,833572
318,43901
319,463988
320,465119
321,456253
322,169592
323,408099
324,103022
325,371698
326,880999
327,190916
328,175533
329,746951
330,833998
331,908122
332,861728
333,207170
334,529430
335,291136
336,938929
337,322240
338,878555
339,734689
340,837274
341,34117
342,772880
343,766034
344,548940
345,533014
346,465244
347,786889
348,243213
349,937853
350,775320
351,291912
352,591021
353,94094
354,772472
355,462802
356,767626
357,315236
358,984141
359,895484
360,9798
361,479414
362,985656
363,432437
364,567243
365,311980
366,196226
367,447458
368,481453
369,94573
370,856505
371,89933
372,232588
373,712378
374,990987
375,194647
376,448172
377,116525
378,540095
379,431637
380,358947
381,490887
382,9147
383,425419
384,288966
385,201740
386,327069
387,803765
388,465645
389,851798
390,251069
391,600225
392,297684
393,190862
394,46427
395,48671
396,542745
397,109337
398,688637
399,438725
400,734226
401,670497
402,88557
403,113983
404,948273
405,502049
406,184010
407,19811
408,200282
409,846797
410,884265
411,73798
412,639783
413,573525
414,643500
415,463535
416,362165
417,440568
418,851788
419,303782
420,959372
421,290040
422,8929
423,328096
424,167647
425,152878
426,793847
427,179473
428,357975
429,869980
430,446341
431,657302
432,877830
433,970451
434,209166
435,836211
436,221444
437,771846
438,29054
439,781659
440,818228
441,264828
442,13034
443,646100
444,720731
445,212014
446,641977
447,773668
448,476031
449,469284
450,932710
451,71543
452,400648
453,39806
454,94540
455,558370
456,953891
457,713379
458,151010
459,708277
460,732340
461,952099
462,223670
463,73152
464,183241
465,247997
466,862131
467,783742
468,55247
469,79257
470,249193
471,877170
472,530469
473,629046
474,809540
475,936437
476,176824
477,916254
478,506043
479,62467
480,691739
481,185314
482,439405
483,574188
484,239314
485,982467
486,134993
487,900790
488,863078
489,511467
490,534481
491,323298
492,570092
493,55076
494,146361
495,492638
496,510608
497,426391
498,161085
499,851474
500,26226
501,416649
502,708244
503,843782
504,258145
505,477680
506,142914
507,359935
508,403906
509,91908
510,191203
511,981069
512,972768
513,911600
514,809008
515,878591
516,210479
517,511099
518,803376
519,615854
520,615970
521,98528
522,333426
523,910345
524,160477
525,16073
526,78269
527,318752
528,505889
529,484815
530,105560
531,405835
532,268474
533,973556
534,437868
535,666652
536,145875
537,185560
