index,value
1,217
2,358
3,1826
4,2189
5,2666
6,3189
7,3322
8,3805
9,3892
10,4556
11,5028
12,5394
13,7270
14,7509
15,8693
16,9237
17,9330
18,9354
19,9903
20,9928
21,9967
22,10079
23,10430
24,10677
25,10961
26,11018
27,11915
28,12153
29,12490
30,13072
31,13751
32,13982
33,14364
34,15267
35,15408
36,15877
37,16338
38,16600
39,16667
40,16943
41,16971
42,18091
43,18419
44,18555
45,18913
46,19721
47,19724
48,20080
49,20087
50,20141
51,20728
52,20887
53,22424
54,23221
55,25104
56,25432
57,26260
58,26939
59,27293
60,28079
61,28405
62,28787
63,29543
64,29641
65,29903
66,30426
67,30667
68,30764
69,31120
70,31287
71,31353
72,32132
73,32365
74,32696
75,32942
76,33132
77,33350
78,33729
79,33975
80,35205
81,35458
82,35564
83,36619
84,36986
85,37000
86,37132
87,37602
88,37786
89,38263
90,38337
91,41479
92,41767
93,41852
94,42155
95,43065
96,43206
97,43633
98,44082
99,44214
100,44415
101,44755
102,45203
103,45317
104,45628
105,45740
106,45766
107,45949
108,46426
109,46610
110,47015
111,47375
112,47808
113,47980
114,47986
115,48636
116,48858
117,48948
118,50219
119,50860
120,51691
121,51798
122,52527
123,52667
124,53248
125,53255
126,53464
127,53903
128,53925
129,54028
130,54287
131,54584
132,54793
133,55046
134,55089
135,55390
136,55438
137,56451
138,56698
139,57223
140,57467
141,57990
142,58263
143,58310
144,58611
145,58722
146,58856
147,58944
148,59429
149,59670
150,60077
151,60189
152,60648
153,61722
154,62265
155,62405
156,63311
157,64385
158,64814
159,65353
160,65913
161,66112
162,66241
163,66803
164,67042
165,68739
166,68878
167,69187
168,69633
169,69742
170,71307
171,72769
172,73389
173,73601
174,73634
175,73993
176,74110
177,74250
178,74850
179,75360
180,75407
181,76644
182,77310
183,77336
184,77786
185,78278
186,78361
187,79305
188,80612
189,80823
190,80933
191,82699
192,83012
193,83810
194,83952
195,84436
196,84481
197,84767
198,85230
199,85262
200,85407
201,85459
202,85604
203,85695
204,85822
205,86327
206,86524
207,87016
208,87867
209,89436
210,89808
211,90363
212,90371
213,90458
214,91110
215,91223
216,91296
217,91428
218,91584
219,92403
220,92750
221,92976
222,93354
223,93568
224,93653
225,93965
226,94285
227,94610
228,95020
229,95032
230,95173
231,95325
232,95352
233,95515
234,95974
235,96592
236,96602
237,97048
238,97536
239,97686
240,98046
241,98406
242,98573
243,98933
244,99992
245,100377
246,100737
247,100766
248,100918
249,101245
250,102524
251,103136
252,103325
253,103510
254,103577
255,103702
256,104141
257,105099
258,105991
259,107328
260,107784
261,108275
262,108563
263,108568
264,109170
265,109885
266,110188
267,110646
268,110753
269,110846
270,110969
271,110985
272,111499
273,111562
274,111736
275,112478
276,113290
277,113387
278,113952
279,113954
280,114328
281,114442
282,114453
283,114466
284,114589
285,114843
286,115492
287,116079
288,116389
289,116893
290,117315
291,117541
292,117783
293,117804
294,118152
295,118487
296,118778
297,119227
298,119501
299,119612
300,119642
301,119887
302,120043
303,120059
304,121312
305,121822
306,121987
307,122265
308,122329
309,122576
310,123008
311,123092
312,123113
313,124398
314,125029
315,125169
316,125380
317,125392
318,125732
319,126149
320,126657
321,126786
322,127310
323,128337
324,128370
325,128524
326,128837
327,128975
328,128977
329,129065
330,129343
331,129359
332,129671
333,130105
334,130966
335,131464
336,132113
337,132445
338,132454
339,132508
340,132535
341,132713
342,133473
343,133721
344,133827
345,133934
346,134593
347,134667
348,135190
349,135327
350,136207
351,136540
352,137656
353,138547
354,138935
355,139016
356,139042
357,139647
358,139655
359,139662
360,140259
361,140275
362,140472
363,140636
