index,value
1,999858
2,999820
3,999477
4,999456
5,999356
6,999333
7,998920
8,998496
9,997605
10,997154
11,997013
12,996924
13,996814
14,996731
15,996248
16,996077
17,995802
18,995779
19,995770
20,995733
21,995663
22,995462
23,995430
24,995382
25,995254
26,995212
27,995104
28,994959
29,994925
30,994651
31,994636
32,994571
33,994299
34,994260
35,993863
36,993774
37,993465
38,993257
39,992828
40,992282
41,992112
42,991926
43,991880
44,991465
45,991419
46,991387
47,991269
48,991254
49,991083
50,991000
51,990899
52,990791
53,990545
54,990449
55,990419
56,990160
57,990102
58,989961
59,989913
60,989456
61,989290
62,988905
63,988700
64,988266
65,988151
66,988014
67,987987
68,987898
69,987514
70,987490
71,987320
72,986983
73,986787
74,986539
75,986512
76,986114
77,985976
78,985809
79,985674
80,985599
81,984596
82,984330
83,984251
84,984077
85,983901
86,983704
87,983577
88,983479
89,983474
90,982733
91,982472
92,982464
93,982290
94,982119
95,981978
96,981620
97,981524
98,981296
99,981242
100,981197
101,980949
102,980731
103,979727
104,979579
105,979323
106,978891
107,978327
108,977243
109,976850
110,976829
111,976735
112,976155
113,975461
114,975331
115,974989
116,974340
117,973937
118,973846
119,973742
120,973682
121,973046
122,972527
123,972194
124,971693
125,971129
126,970763
127,970759
128,970555
129,970136
130,970101
131,969954
132,969708
133,969344
134,969262
135,969205
136,969047
137,969010
138,968786
139,968750
140,968083
141,967810
142,967793
143,967478
144,967344
145,966736
146,966285
147,966068
148,965956
149,965585
150,965439
151,965195
152,965165
153,964973
154,964874
155,963369
156,962900
157,962830
158,962686
159,961872
160,961514
161,961444
162,961439
163,960734
164,960539
165,960461
166,960457
167,960419
168,960359
169,960355
170,960259
171,960163
172,959945
173,959686
174,959596
175,959469
176,959404
177,959403
178,959277
179,959184
180,958785
181,958737
182,958153
183,957595
184,957374
185,957264
186,957236
187,957006
188,956198
189,956128
190,956127
191,956007
192,955828
193,955286
194,955195
195,955187
196,955017
197,954942
198,954890
199,954845
200,954669
201,954381
202,954301
203,954200
204,954103
205,953999
206,953926
207,953781
208,953750
209,953687
210,953451
211,953401
212,953311
213,953050
214,953042
215,953005
216,952932
217,952827
218,952768
219,952767
220,951261
221,950763
222,950563
223,950510
224,950284
225,950033
226,949969
227,949764
228,948759
229,948418
230,948383
231,948194
232,948192
233,948089
234,948053
235,947987
236,947875
237,947807
238,947088
239,947012
240,946913
241,946347
242,946263
243,945943
244,945723
245,945502
246,945280
247,945056
248,944974
249,944945
250,944868
251,944562
252,944175
253,943921
254,943917
255,943895
256,943718
257,943551
258,943125
259,942902
260,942854
261,942698
262,942554
263,942476
264,942475
265,942239
266,942179
267,941983
268,941880
269,941351
270,941322
271,941297
272,941056
273,940707
274,940129
275,940123
276,939991
277,939962
278,939918
279,939559
280,939245
281,938714
282,938631
283,938177
284,938049
285,937987
286,937838
287,937814
288,937792
289,937449
290,937186
291,936927
292,936749
293,936160
294,935998
295,935923
296,935798
297,935788
298,935763
299,935738
300,934912
301,934831
302,934752
303,934139
304,934011
305,933920
306,933656
307,933240
308,933164
309,932749
310,932429
311,932191
312,932087
313,932014
314,931791
315,931568
316,931533
317,931043
318,930899
319,930363
320,929090
321,929062
322,928946
323,928847
324,928578
325,928452
326,927879
327,927615
328,927580
329,927508
330,927412
331,927407
332,927200
333,926777
334,926729
335,926652
336,926649
337,926327
338,926118
339,925682
340,925674
341,925651
342,925466
343,924674
344,924546
345,923968
346,923869
347,923783
348,923587
349,923408
350,923326
351,923270
352,923264
353,922521
354,922326
355,922248
356,922185
357,922134
358,922005
359,921950
360,921590
361,921553
362,921451
363,920809
364,920762
365,920757
366,920714
367,919929
368,919607
369,919337
370,919320
371,919175
372,919130
373,918965
374,918857
375,918725
376,918610
377,918312
378,918303
379,918182
380,917575
381,917371
382,916965
383,916834
384,916818
385,916551
386,916524
387,916369
388,915954
389,915456
390,915208
391,914996
392,914910
393,914860
394,914808
395,913728
396,913298
397,912967
398,912797
399,912413
400,912259
401,912139
402,912029
403,912019
404,911950
405,911937
406,911595
407,911479
408,911416
409,911001
410,910937
411,910641
412,910265
413,910035
414,909861
415,909818
416,909783
417,909724
418,909576
419,909425
420,909054
421,908924
422,908807
423,908672
424,908543
425,908403
426,907640
427,907599
428,907315
429,907206
430,907061
431,906801
432,906678
433,906647
434,906597
435,906583
436,906324
437,906176
438,905479
439,905394
440,905388
441,905284
442,905171
443,904811
444,904794
445,904771
446,904641
447,904396
448,904363
449,904354
450,904239
451,904219
452,903882
453,902964
454,902858
455,902357
456,902035
457,902016
458,901732
459,901709
460,901572
461,901315
462,901075
463,900812
464,900745
465,900162
466,900062
467,899880
468,899814
469,899690
470,899471
471,899376
472,898646
473,898201
474,897306
475,896990
476,896982
477,896897
478,896804
479,896425
480,896246
