index,value
1,483900
2,629591
3,124974
4,818908
5,809623
6,41233
7,251862
8,295913
9,546034
10,782557
11,50291
12,852913
13,70932
14,136262
15,625843
16,813581
17,92913
18,933177
19,381333
20,133645
21,771583
22,121518
23,759811
24,351482
25,499333
26,929951
27,614965
28,487775
29,201476
30,289532
31,115815
32,281022
33,179639
34,695942
35,786192
36,528776
37,521827
38,737977
39,19703
40,392086
41,623327
42,748787
43,151285
44,352407
45,471785
46,475924
47,324692
48,827931
49,329375
50,925436
51,633721
52,761979
53,680751
54,985689
55,679561
56,132866
57,562402
58,840631
59,709128
60,972839
61,436837
62,491675
63,905452
64,894680
65,554929
66,679508
67,165865
68,107872
69,471997
70,19745
71,923742
72,599797
73,438540
74,663652
75,396144
76,694334
77,358074
78,358695
79,172757
80,361932
81,876141
82,14945
83,952829
84,99603
85,166383
86,163897
87,990537
88,670299
89,472980
90,983424
91,54225
92,265637
93,504257
94,546438
95,41831
96,270360
97,318844
98,992248
99,905814
100,728172
101,29436
102,165367
103,951128
104,686556
105,110366
106,111795
107,209081
108,642402
109,889258
110,119377
111,680399
112,286694
113,865290
114,566183
115,344846
116,593797
117,606500
118,18358
119,697980
120,681249
121,993349
122,516901
123,57794
124,19103
125,188792
126,302099
127,757011
128,975448
129,354789
130,157253
131,974274
132,808459
133,194334
134,789876
135,270260
136,663937
137,984071
138,673297
139,52908
140,852400
141,624009
142,118449
143,121329
144,993384
145,736504
146,157354
147,514059
148,196210
149,998570
150,975954
151,666673
152,904561
153,162824
154,993008
155,773331
156,644480
157,77150
158,162094
159,963433
160,144802
161,157771
162,857823
163,197924
164,453974
165,937306
166,54057
167,548883
168,685287
169,396650
170,363043
171,337589
172,855703
173,407461
174,749523
175,354195
176,667533
177,630908
178,221746
179,92582
180,649321
181,893907
182,576631
183,965114
184,807549
185,277268
186,963932
187,87761
188,493279
189,442004
190,492138
191,201604
192,62672
193,527806
194,231693
195,69516
196,718837
197,382423
198,604814
199,860726
200,830632
201,24137
202,366445
203,451632
204,265904
205,332030
206,736496
207,643729
208,694604
209,121368
210,814979
211,445598
212,798903
213,779663
214,903915
215,262720
216,50726
217,222938
218,951380
219,475102
220,610329
221,40508
222,268446
223,54949
224,55938
225,143752
226,201519
227,294118
228,221470
229,268719
230,632618
231,204990
232,600632
233,941657
234,619401
235,905331
236,309212
237,950072
238,497138
239,106516
240,68100
241,197372
242,49520
243,459336
244,876326
245,918249
246,286844
247,834180
248,180481
249,496669
250,952578
