index,value
1,204
2,284
3,733
4,856
5,930
6,956
7,1010
8,1628
9,1947
10,2249
11,2292
12,2452
13,2558
14,2771
15,2955
16,2989
17,3159
18,3310
19,3964
20,4730
21,4936
22,5000
23,5510
24,5851
25,6014
26,6554
27,6587
28,6945
29,7025
30,7417
31,7674
32,8228
33,8349
34,8478
35,8693
36,9171
37,9186
38,9425
39,9454
40,10079
41,10411
42,10594
43,10682
44,11136
45,11154
46,11349
47,11607
48,11630
49,11904
50,11908
51,11914
52,12223
53,12350
54,12745
55,13139
56,14361
57,14422
58,14497
59,14539
60,14806
61,14811
62,14951
63,15134
64,15225
65,15805
66,15950
67,15962
68,16370
69,16551
70,17420
71,17676
72,17691
73,18196
74,18287
75,18429
76,18457
77,18956
78,19017
79,19105
80,19375
81,19611
82,19770
83,19842
84,19923
85,20261
86,20651
87,21089
88,21558
89,21694
90,21987
91,22023
92,22515
93,22745
94,22999
95,23166
96,23345
97,23434
98,23470
99,23517
100,23828
101,23857
102,24193
103,24223
104,24601
105,24641
106,24669
107,25047
108,25117
109,25160
110,25616
111,25636
112,25806
113,25959
114,26183
115,26592
116,27096
117,27207
118,27271
119,27664
120,27854
121,28070
122,28100
123,28295
124,28400
125,28511
126,28520
127,28535
128,28628
129,28806
130,29263
131,29361
132,29829
133,29958
134,30241
135,30250
136,30656
137,30693
138,30734
139,30800
140,31066
141,31175
142,31273
143,31323
144,31459
145,32318
146,32628
147,32690
148,32835
149,33487
150,33620
151,34321
152,34323
153,34364
154,34386
155,34541
156,34738
157,34782
158,34820
159,36146
160,36244
161,36540
162,36543
163,37279
164,37570
165,37670
166,37768
167,38090
168,38374
169,38581
170,38888
171,39407
172,39599
173,39680
174,39792
175,40135
176,40397
177,41905
178,42135
179,42442
180,42721
181,42749
182,42897
183,42989
184,43159
185,43573
186,45103
187,45133
188,45173
189,45490
190,45532
191,45689
192,45703
193,45768
194,45905
195,46007
196,46852
197,46881
198,47146
199,47246
200,47996
201,48029
202,48522
203,48542
204,48881
205,49354
206,49473
207,49842
208,50211
209,50449
210,51000
211,51016
212,51210
213,51454
214,51666
215,51756
216,51781
217,51872
218,51951
219,52075
220,52269
221,52335
222,52471
223,53321
224,53493
225,54146
226,54176
227,54285
228,54717
229,55573
230,55824
231,55902
232,56142
233,56425
234,56701
235,57091
236,57233
237,57528
238,57863
239,58017
240,58228
241,58327
242,58338
243,58422
244,59052
245,59371
246,59600
247,59917
248,60546
249,60630
250,60668
251,60791
252,60793
253,61156
254,62226
255,62236
256,62394
257,62834
258,62905
259,63032
260,63101
261,63206
262,63377
263,63718
264,63915
265,63972
266,64069
267,64171
268,64305
269,64726
270,64917
271,64928
272,65169
273,65346
274,65451
275,65620
276,65929
277,65950
278,66138
279,66325
280,66346
281,66387
282,66500
283,66704
284,66742
285,67008
286,67082
287,67212
288,67300
289,67701
290,68123
291,68277
292,68836
293,69075
294,69299
295,69810
296,70774
297,71239
298,71391
299,71603
300,73409
301,73691
302,73744
303,74255
304,74663
305,74824
306,74950
307,75279
308,75445
309,75839
310,76613
311,77247
312,77281
313,77706
314,77731
315,77997
316,78185
317,78533
318,79140
319,79409
320,79665
321,79753
322,80050
323,80162
324,80643
325,81293
326,81324
327,81514
328,81729
329,81941
330,82144
331,82224
332,82284
333,82392
334,82442
335,82886
336,82958
337,83076
338,83080
339,83502
340,83526
341,83836
342,85002
343,85454
344,85468
345,85779
346,86332
347,86395
348,86399
349,86494
350,86813
351,86879
352,87006
353,87309
354,87652
355,87755
356,88222
357,88298
358,88655
359,88781
360,89057
361,89150
362,89403
363,89509
364,89583
365,89757
366,90465
367,90792
368,90855
369,90871
370,90973
371,91163
372,91174
373,91434
374,92001
375,92122
376,92213
377,92295
378,92386
379,92449
380,92552
381,92652
382,93136
383,93144
384,93233
385,93792
386,94341
387,94571
388,94717
389,94907
390,94929
391,95068
392,95233
393,95317
394,95407
395,95443
396,95717
397,95754
398,95765
399,96233
400,96250
401,96281
402,96296
403,96326
404,96460
405,97741
406,97798
407,97857
408,97906
409,98348
410,98549
411,98711
412,98884
413,98957
414,98959
415,98962
416,99096
417,99145
418,99313
419,99714
420,99903
421,100243
422,100308
423,100446
424,100768
425,101026
426,101034
427,101115
428,101432
429,101692
430,101753
431,102026
432,102805
433,103264
434,103513
435,103719
436,104206
437,104275
438,104318
439,104436
440,104533
441,105047
442,105336
443,105357
444,105703
445,105891
446,105919
447,106140
448,106279
449,106525
450,106774
451,107176
452,107494
453,107637
454,108387
455,108939
456,108958
457,109205
458,109448
459,110188
460,110262
461,110287
462,110656
463,110667
464,110782
465,111231
466,111524
467,111734
468,111765
469,111849
470,112915
471,113046
472,113125
473,113196
474,113992
475,114198
476,114505
477,114549
478,114755
479,114774
480,114838
481,115179
482,115194
483,115485
484,115530
485,115640
486,115693
487,116031
488,116273
489,116297
490,116489
491,117387
492,117617
493,117870
494,117990
495,118217
496,118570
497,118734
498,119025
499,119416
500,119554
501,120327
502,120646
503,120819
504,121050
505,121319
506,121680
507,121723
508,121811
509,122394
510,122502
511,122647
512,122901
513,123130
514,123241
515,123463
516,123599
517,123622
518,124350
519,124451
520,124466
521,124579
522,125012
523,125127
524,125307
525,125457
526,125671
527,125774
528,126328
529,126388
530,126630
531,126753
532,127077
533,127356
534,127464
535,127620
536,127816
537,127831
538,127981
539,128286
540,128490
541,128498
542,128963
543,129130
544,129137
545,129345
546,129460
547,129492
548,129593
549,129659
550,129704
551,129861
552,129982
553,130658
554,130735
555,131105
556,131145
557,131233
558,131704
559,132032
560,132047
561,132395
562,133544
563,133628
564,134615
565,135035
566,135115
567,135651
568,135975
569,136287
570,136353
571,136408
572,136703
573,136926
574,137143
575,137147
576,137396
577,137754
578,137926
579,138122
580,138210
581,138339
582,138345
583,138618
584,138637
585,138973
586,139000
587,139145
588,139974
589,140595
590,141081
591,141082
592,141126
593,142091
594,142419
595,142885
596,143618
597,143797
598,144427
599,144573
600,144629
601,144679
602,145192
603,145450
604,145575
605,145629
606,145768
607,146598
608,146657
609,146672
610,147046
611,147157
612,147354
613,147985
614,148067
615,148206
616,148294
617,148309
618,148527
619,148590
620,148811
621,148888
622,149085
623,149560
624,149921
625,150144
626,150617
627,150986
628,151012
629,151237
630,151635
631,153093
632,153102
633,153271
634,153459
635,153479
636,153516
637,153804
638,153844
639,154602
640,155637
641,156007
642,156034
643,156567
644,156723
645,157058
646,157092
647,157838
648,158050
649,158059
650,158227
651,158535
652,159095
653,159125
654,159467
655,159562
656,159814
657,160105
658,160146
659,161121
660,161465
661,161665
662,161676
663,161863
664,161900
665,161965
666,162220
667,162250
668,162525
669,162560
670,162928
671,163246
672,163498
673,163731
674,163771
675,164216
676,164357
677,164840
678,164894
679,165076
680,165347
681,165421
682,165563
683,165815
684,166360
685,166381
686,166450
687,166597
688,166740
689,166835
690,166947
691,167641
692,168189
693,168219
694,168615
695,168729
696,168809
697,168833
698,169250
699,169448
700,169712
701,170246
702,170602
703,170710
704,170790
705,170812
706,170916
707,171445
708,171496
709,171636
710,171923
711,172010
712,172330
713,172467
714,172481
715,172571
716,172695
717,172787
718,172939
719,173454
720,174016
721,174041
722,174127
723,174321
724,174988
725,175016
726,175161
727,175203
728,175234
729,175544
730,176006
731,176039
732,176121
733,176231
734,176325
735,176933
736,177041
737,177192
738,177337
739,177618
740,178138
741,178251
742,178560
743,178612
744,178737
745,178917
746,179162
747,179387
748,179453
749,179457
750,180298
751,180518
752,180525
753,181434
754,181524
755,181836
756,181907
757,182116
758,182139
759,182510
760,183321
761,183636
762,183788
763,184072
764,184079
765,184240
766,184307
767,184356
768,184555
769,184674
770,184709
