format_version,bonnie_version,name,concurrency,seed,file_size,io_chunk_size,putc,putc_cpu,put_block,put_block_cpu,rewrite,rewrite_cpu,getc,getc_cpu,get_block,get_block_cpu,seeks,seeks_cpu,num_files,max_size,min_size,num_dirs,file_chunk_size,seq_create,seq_create_cpu,seq_stat,seq_stat_cpu,seq_del,seq_del_cpu,ran_create,ran_create_cpu,ran_stat,ran_stat_cpu,ran_del,ran_del_cpu,putc_latency,put_block_latency,rewrite_latency,getc_latency,get_block_latency,seeks_latency,seq_create_latency,seq_stat_latency,seq_del_latency,ran_create_latency,ran_stat_latency,ran_del_latency
1.97,1.97,d4a61ab9afb0,1,1638868797,4G,,803,99,1199675,97,376676,44,2911,99,545887,38,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,17333us,6438us,32584us,11278us,32413us,6924us,475us,411us,1035us,899us,38us,118us
1.97,1.97,d4a61ab9afb0,1,1638868797,4G,,787,99,1365707,97,403519,46,2814,99,550509,37,16317,154,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,19474us,6642us,39130us,6752us,26654us,8208us,61us,340us,601us,250us,1559us,1730us
1.97,1.97,d4a61ab9afb0,1,1638868797,4G,,828,99,1347964,97,411599,47,2758,99,561258,36,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,18292us,8230us,29780us,5851us,29489us,18481us,619us,595us,642us,1171us,36us,176us
1.97,1.97,d4a61ab9afb0,1,1638868797,4G,,826,99,1181573,92,399945,44,2823,99,532865,36,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,18457us,31285us,34963us,7498us,28238us,7163us,205us,525us,763us,1925us,619us,237us
1.97,1.97,d4a61ab9afb0,1,1638868797,4G,,821,99,1123686,94,378264,44,2884,99,559778,37,13743,161,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,16396us,10144us,35671us,11808us,26964us,17462us,270us,732us,567us,1839us,134us,123us
1.97,1.97,d4a61ab9afb0,1,1638868797,4G,,790,99,1286734,92,377815,45,2743,99,546775,37,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,21667us,10696us,41178us,4796us,27856us,2859us,103us,408us,675us,890us,1103us,1460us
1.97,1.97,d4a61ab9afb0,1,1638868797,4G,,786,99,1084631,91,399710,45,2840,99,547670,36,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,18699us,13085us,42315us,4814us,26921us,3035us,596us,479us,549us,1178us,254us,1404us
1.97,1.97,d4a61ab9afb0,1,1638868797,4G,,835,99,1224835,93,394089,45,2895,99,544809,37,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,14925us,11582us,53643us,6458us,58939us,3787us,204us,774us,693us,797us,55us,95us
1.97,1.97,d4a61ab9afb0,1,1638868797,4G,,847,99,1140810,94,376558,44,2735,99,528876,37,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,14950us,7908us,31350us,6780us,48768us,3559us,92us,1796us,756us,1389us,633us,1471us
1.97,1.97,d4a61ab9afb0,1,1638868797,4G,,819,99,1203063,94,403517,45,2853,99,552358,37,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,14939us,9543us,43929us,6896us,27309us,2969us,164us,456us,548us,1380us,81us,687us
1.97,1.97,d4a61ab9afb0,1,1638868797,4G,,833,99,1399622,96,398806,47,2838,99,535257,35,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,16160us,10955us,40466us,7675us,55159us,2539us,169us,1405us,576us,1411us,112us,1362us
1.97,1.97,d4a61ab9afb0,1,1638868797,4G,,822,99,1227641,98,416011,46,2850,99,563560,38,15804,145,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,14331us,7235us,31583us,5454us,26679us,3020us,192us,268us,344us,1130us,37us,974us
1.97,1.97,d4a61ab9afb0,1,1638868797,4G,,831,99,1204523,97,398377,45,2782,99,542445,37,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,16056us,8295us,35254us,4450us,28765us,2715us,475us,635us,556us,1505us,72us,1466us
1.97,1.97,d4a61ab9afb0,1,1638868797,4G,,796,99,1329971,96,410063,45,2674,99,553642,38,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,17200us,13017us,54093us,8140us,29093us,3118us,97us,1749us,607us,2676us,56us,1840us
1.97,1.97,d4a61ab9afb0,1,1638868797,4G,,806,99,1156097,96,387271,46,2895,99,546172,36,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,17282us,8110us,62512us,4966us,44738us,4580us,255us,498us,751us,1352us,971us,732us
