format_version,bonnie_version,name,concurrency,seed,file_size,io_chunk_size,putc,putc_cpu,put_block,put_block_cpu,rewrite,rewrite_cpu,getc,getc_cpu,get_block,get_block_cpu,seeks,seeks_cpu,num_files,max_size,min_size,num_dirs,file_chunk_size,seq_create,seq_create_cpu,seq_stat,seq_stat_cpu,seq_del,seq_del_cpu,ran_create,ran_create_cpu,ran_stat,ran_stat_cpu,ran_del,ran_del_cpu,putc_latency,put_block_latency,rewrite_latency,getc_latency,get_block_latency,seeks_latency,seq_create_latency,seq_stat_latency,seq_del_latency,ran_create_latency,ran_stat_latency,ran_del_latency
1.97,1.97,d4a61ab9afb0,1,1638869348,4G,,2242,99,756014,31,375044,23,3469,99,668494,23,5938,102,2,,,,,777,6,+++++,+++,2488,11,739,8,+++++,+++,1542,13,6451us,36938us,98298us,4341us,38768us,10409us,9511us,2859us,3854us,3818us,1184us,2095us
1.97,1.97,d4a61ab9afb0,1,1638869348,4G,,2227,98,749109,31,405536,23,3470,99,638021,24,6755,92,2,,,,,700,7,+++++,+++,2520,12,826,8,+++++,+++,1884,12,7419us,33394us,49302us,5399us,36617us,31414us,10010us,3890us,4558us,4946us,862us,2108us
1.97,1.97,d4a61ab9afb0,1,1638869348,4G,,2248,99,759520,30,376794,23,3251,98,626088,23,5744,105,2,,,,,735,7,+++++,+++,2753,11,796,7,+++++,+++,1784,12,7451us,41949us,74391us,6789us,37220us,11331us,4237us,2525us,3997us,5332us,5119us,3657us
1.97,1.97,d4a61ab9afb0,1,1638869348,4G,,2347,99,778852,31,366783,23,3366,99,658880,22,5790,100,2,,,,,755,7,+++++,+++,2709,11,773,8,+++++,+++,1555,13,5228us,34986us,84848us,7134us,37034us,18342us,6181us,2536us,3206us,7304us,1166us,2523us
1.97,1.97,d4a61ab9afb0,1,1638869348,4G,,2150,98,835871,32,393110,23,3153,98,601503,23,6244,91,2,,,,,675,7,+++++,+++,2304,13,805,8,+++++,+++,1708,12,8681us,35520us,52859us,8430us,55294us,30509us,5105us,3690us,4262us,3888us,3979us,1601us
1.97,1.97,d4a61ab9afb0,1,1638869348,4G,,2276,99,739613,33,389797,23,3536,99,626020,24,6775,94,2,,,,,685,7,+++++,+++,2376,12,798,8,+++++,+++,1749,12,6685us,36642us,58156us,6191us,33946us,28063us,7877us,4006us,3839us,8512us,4935us,2966us
1.97,1.97,d4a61ab9afb0,1,1638869348,4G,,2177,98,736345,31,356974,23,3507,99,658402,23,6958,90,2,,,,,759,7,+++++,+++,2475,12,784,8,+++++,+++,1588,13,8617us,34202us,83660us,4637us,36633us,29649us,9706us,2687us,3830us,4727us,853us,5519us
1.97,1.97,d4a61ab9afb0,1,1638869348,4G,,2133,99,738449,31,392716,23,3550,98,646588,25,6195,101,2,,,,,732,7,+++++,+++,2569,10,828,7,+++++,+++,1809,12,7812us,30771us,61956us,5083us,36219us,18135us,4513us,2244us,3208us,7627us,1371us,1961us
1.97,1.97,d4a61ab9afb0,1,1638869348,4G,,2111,99,740635,32,389517,24,3347,99,661278,24,6866,92,2,,,,,717,7,+++++,+++,2503,12,805,8,+++++,+++,1790,12,13874us,32397us,60812us,5870us,25849us,26825us,10344us,3163us,3199us,3019us,665us,6258us
1.97,1.97,d4a61ab9afb0,1,1638869348,4G,,2186,99,753547,31,400766,23,3664,99,644919,25,6575,92,2,,,,,754,7,+++++,+++,2502,12,776,8,+++++,+++,1858,12,7700us,47478us,50050us,6015us,28620us,29169us,3429us,2598us,4102us,6332us,1380us,3554us
1.97,1.97,d4a61ab9afb0,1,1638869348,4G,,2326,99,814957,30,389816,23,3510,99,672275,24,7390,93,2,,,,,828,6,+++++,+++,2700,11,770,9,+++++,+++,1716,12,5390us,37231us,80260us,10965us,34808us,23631us,5675us,3412us,3938us,4871us,916us,3283us
1.97,1.97,d4a61ab9afb0,1,1638869348,4G,,2268,99,769042,31,390335,23,3635,99,657420,25,7123,97,2,,,,,789,6,+++++,+++,2803,11,793,9,+++++,+++,1605,13,7776us,26479us,50343us,4317us,33266us,13622us,5157us,3505us,3224us,4713us,890us,4139us
1.97,1.97,d4a61ab9afb0,1,1638869348,4G,,2197,99,750597,31,410778,24,3364,99,674071,24,7449,98,2,,,,,749,7,+++++,+++,2839,11,792,8,+++++,+++,1792,12,7461us,26362us,54275us,7168us,28215us,9144us,4465us,3211us,4128us,10324us,756us,5236us
1.97,1.97,d4a61ab9afb0,1,1638869348,4G,,2326,99,789839,31,390042,23,3438,99,732372,24,6529,97,2,,,,,700,7,+++++,+++,2503,12,790,8,+++++,+++,1632,13,5398us,24522us,64834us,11013us,13128us,3610us,10123us,2932us,4127us,3443us,1494us,1718us
1.97,1.97,d4a61ab9afb0,1,1638869348,4G,,2289,98,793201,32,380992,23,3473,99,636457,21,6019,96,2,,,,,760,7,+++++,+++,2478,13,821,8,+++++,+++,1621,13,5653us,25706us,82719us,4827us,54459us,30478us,9594us,2487us,3900us,2953us,1889us,6012us
