format_version,bonnie_version,name,concurrency,seed,file_size,io_chunk_size,putc,putc_cpu,put_block,put_block_cpu,rewrite,rewrite_cpu,getc,getc_cpu,get_block,get_block_cpu,seeks,seeks_cpu,num_files,max_size,min_size,num_dirs,file_chunk_size,seq_create,seq_create_cpu,seq_stat,seq_stat_cpu,seq_del,seq_del_cpu,ran_create,ran_create_cpu,ran_stat,ran_stat_cpu,ran_del,ran_del_cpu,putc_latency,put_block_latency,rewrite_latency,getc_latency,get_block_latency,seeks_latency,seq_create_latency,seq_stat_latency,seq_del_latency,ran_create_latency,ran_stat_latency,ran_del_latency
1.97,1.97,d4a61ab9afb0,1,1638872216,4G,,1224,99,1518131,97,415253,42,3462,99,596231,36,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,11644us,5339us,38973us,3895us,26295us,2369us,415us,317us,562us,620us,92us,144us
1.97,1.97,d4a61ab9afb0,1,1638872216,4G,,1173,99,1308058,97,419888,44,3340,99,575909,36,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,11384us,5928us,33082us,6209us,25942us,2844us,355us,396us,560us,117us,203us,232us
1.97,1.97,d4a61ab9afb0,1,1638872216,4G,,1185,99,1236975,94,425067,44,3528,99,570091,36,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,10823us,9346us,31568us,4746us,26197us,4350us,84us,249us,406us,591us,102us,322us
1.97,1.97,d4a61ab9afb0,1,1638872216,4G,,1175,99,1293867,94,431252,45,3381,99,588194,36,16035,141,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,16471us,8671us,35372us,5713us,28818us,8390us,156us,300us,391us,418us,38us,198us
1.97,1.97,d4a61ab9afb0,1,1638872216,4G,,1181,99,1054060,94,403536,40,3362,99,536095,34,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,10097us,33279us,35722us,6566us,27987us,3151us,82us,247us,477us,872us,97us,319us
1.97,1.97,d4a61ab9afb0,1,1638872216,4G,,1219,99,1269010,89,400254,40,3463,99,515709,33,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,10763us,17148us,52949us,5488us,53092us,2502us,141us,607us,759us,188us,849us,391us
1.97,1.97,d4a61ab9afb0,1,1638872216,4G,,1157,99,1370272,88,317124,34,3444,99,461963,31,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,12408us,37588us,71958us,5620us,32052us,7710us,154us,241us,499us,269us,28us,117us
1.97,1.97,d4a61ab9afb0,1,1638872216,4G,,1169,99,1539816,93,353545,38,3416,99,477899,32,16069,148,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,14845us,8901us,55027us,5103us,52331us,9336us,112us,241us,409us,118us,24us,272us
1.97,1.97,d4a61ab9afb0,1,1638872216,4G,,1187,99,1587083,90,359922,38,3413,99,493288,32,15559,140,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,11332us,16511us,76610us,5699us,30652us,4813us,123us,542us,650us,432us,151us,182us
1.97,1.97,d4a61ab9afb0,1,1638872216,4G,,1200,99,1212704,97,364373,38,3365,98,478082,32,14186,149,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,10568us,18501us,55229us,5906us,30527us,25475us,174us,255us,1034us,635us,79us,123us
1.97,1.97,d4a61ab9afb0,1,1638872216,4G,,1158,99,1259816,93,352113,37,3457,99,477357,33,15678,134,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,12372us,26621us,55315us,5078us,48740us,3408us,54us,373us,504us,542us,66us,83us
1.97,1.97,d4a61ab9afb0,1,1638872216,4G,,1200,99,1366181,94,348449,38,3467,99,459869,31,15845,144,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,12290us,25825us,64424us,4101us,31877us,25974us,88us,457us,547us,497us,113us,56us
1.97,1.97,d4a61ab9afb0,1,1638872216,4G,,1127,97,1493299,93,338324,37,3396,99,455218,30,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,15643us,21052us,60024us,4950us,38435us,26562us,107us,607us,513us,72us,162us,795us
1.97,1.97,d4a61ab9afb0,1,1638872216,4G,,1187,98,1162474,96,395190,41,3399,99,552963,35,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,10433us,13104us,36152us,5904us,28192us,2071us,87us,561us,638us,108us,179us,260us
1.97,1.97,d4a61ab9afb0,1,1638872216,4G,,1161,97,1402087,95,378903,39,3431,99,526706,35,+++++,+++,2,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,10697us,26997us,48839us,5637us,28056us,2918us,161us,582us,639us,111us,866us,669us
